1,锦林新居,862,2434427.9695961047,500034.5522014093
2,阳明山庄,96,2434409.6627303157,500086.1207482565
3,滨江新村,752,2434391.1378559223,500103.3145319234
4,南华村,2662,2434391.098325724,500086.1910890453
5,庆安航空大厦,294,2434427.986778206,500103.285306278
6,梅林三村,822,2434428.028393513,500051.73264089884
7,梅林四村,3128,2434428.024251522,500051.7567220972
8,福丰楼,90,2434428.0358200953,500051.7777749002
9,金燕园,221,2434428.0059630596,500068.8542487333
10,福华阁,100,2434391.046127438,500068.8927627543
11,锦峰大厦,376,2434391.1394170243,500103.28448375093
12,宏浩花园,333,2434409.58855325,500034.5291901145
13,泰安轩,681,2434391.1139306524,500017.3615043522
14,山水居,264,2434428.064098134,500051.6300712541
15,华富北屋村,1971,2434409.6432849225,500086.0964007589
16,百兴苑,331,2434427.995483338,500051.7679360966
17,东方富苑,123,2434427.9939004723,500051.7889506425
18,红梅苑,561,2434427.997322759,500051.6831317094
19,旭飞华安园,491,2434427.995973216,500068.8419032582
20,众孚大厦,347,2434372.7131004147,500051.7213115016
21,蓝色海云居,113,2434372.7674274794,500051.7129565261
22,蓝宝石名庭,154,2434428.002801375,500068.8393100273
23,深业花园,796,2434409.5128598474,500068.9046601275
24,滨河新村,865,2434391.142451487,500103.35340863816
25,伟柏花园,475,2434391.0465829875,500068.9082851784
26,润裕花园,231,2434428.012096832,500034.58804534463
27,御锦公馆,662,2434428.061002521,500051.7786127635
28,福贸花园,264,2434428.0426408327,500051.7855786357
29,阳光天下花园,628,2434428.053317351,500051.6309228056
30,银海苑,188,2434428.063276501,500068.89207962545
31,绿洲花园,360,2434372.7176512517,500034.56139923044
32,建业大厦,384,2434391.144599763,500017.27501066367
33,君悦阁,357,2434391.2026172704,500086.2128379471
34,玮鹏花园,1894,2434391.205522945,500103.2699239
35,华强住宅区,800,2434391.1687393896,500086.1403621039
36,宝鸿苑,154,2434372.7241503894,500034.5784913189
37,长城盛世家园一期,990,2434409.6720679463,500068.9059295088
38,福滨新村,799,2434391.0712216417,500086.0672841782
39,京基御景华城,3669,2434391.0996999824,500086.139549471
40,合正香蜜原著,980,2434409.6237388933,500017.29604578996
41,红树家邻,222,2434372.755233251,500017.3296410455
42,碧海红树园,949,2434391.03939777,500017.3349213395
43,水畔紫云阁,442,2434391.043419314,500086.10633110994
44,先龙花园,387,2434391.061054976,500086.13192966086
45,泰然广场,321,2434391.0464629163,500017.35198761645
46,地质勘查局生活区,212,2434409.5303561897,500103.25917668303
47,皇福苑,156,2434391.049662189,500086.0861684826
48,鹏丽大厦,312,2434391.103083261,500086.14813099883
49,皇达东方雅苑,683,2434372.7314662277,500051.77079144516
50,天健时尚名苑,397,2434354.295924123,500051.7377270994
51,红树绿洲,1051,2434354.2894608234,500051.71396283136
52,上步小区,1463,2434409.5322666746,500086.1152871123
53,赛格公寓,970,2434409.5311795487,500086.17121926637
54,益田名园,170,2434372.65788753,500051.70726383186
55,城市绿洲花园,731,2434391.2034496223,500068.9987294675
56,帝涛豪园,266,2434354.3025959814,500051.7838424108
57,康达尔职工住宅楼,52,2434372.7583030458,500051.63575024484
58,沙尾电话机楼,138,2434372.748456782,500034.5505212569
59,万科金域蓝湾一期,703,2434372.727766251,500017.36859076424
60,绿景蓝湾半岛,1607,2434372.6390884444,500034.5604549563
61,京海花园,328,2434391.1459531686,500086.10471539624
62,福星花园大厦,505,2434391.130670797,500086.1122068047
63,泰康轩,560,2434391.110129277,500017.3677405213
64,金地海景翠堤湾,1188,2434372.6228997028,500034.57630515704
65,漾福居,838,2434391.1364126657,500086.06946865283
66,广业大厦,381,2434391.154930846,500086.09678095893
67,颐林雅院,714,2434428.0714917947,500051.7897372909
68,新洲花园综合楼,72,2434372.743410746,500051.6761075953
69,城市杰座,749,2434391.1411803775,500086.060163052
70,鹏盛年华,600,2434409.6422419082,500103.32647376554
71,碧云天,508,2434409.6771117644,500034.5244988672
72,体委宿舍,28,2434409.531093531,500086.2057517707
73,佳和华强大厦,1469,2434391.191102727,500086.13257982046
74,教育科技大厦,60,2434391.1212516325,500000.15253314207
