no,area,name,lat,lng
1,深圳市福田区,华强花园,22.544806,114.09186
2,深圳市福田区,南天二花园,22.557022,114.100094
3,深圳市福田区,万科瑧山府,22.557394,114.014082
4,深圳市福田区,梅林一村,22.572485,114.044019
5,深圳市福田区,彩田村,22.566427,114.068999
6,深圳市福田区,景新花园,22.559895,114.053823
7,深圳市福田区,莲花二村,22.556263,114.076919
8,深圳市福田区,莲花一村,22.559464,114.076441
9,深圳市福田区,都市阳光名苑,22.541259,114.032023
10,深圳市福田区,园岭新村,22.560534,114.107113
11,深圳市福田区,福华村小区,22.539493,114.077961
12,深圳市福田区,香榭里花园,22.550003,114.026176
13,深圳市福田区,梅林二村,22.570152,114.051688
14,深圳市福田区,特发小区,22.560919,114.036871
15,深圳市福田区,宝树台,22.54934,114.098973
16,深圳市福田区,鹏益花园,22.56628,114.10122
17,深圳市福田区,新天国际名苑,22.557987,114.032158
18,深圳市福田区,福田路30号小区,22.539517,114.084638
19,深圳市福田区,新阁小区,22.57356,114.080648
20,深圳市福田区,城中雅苑,22.53727,114.058597
21,深圳市福田区,半山·御景,22.578503,114.077245
22,深圳市福田区,宏浩花园,22.558577,114.043963
23,深圳市福田区,长城盛世家园,22.566025,114.072962
24,深圳市福田区,侨香村,22.558627,114.019877
25,深圳市福田区,恒星园,22.559737,114.028137
26,深圳市福田区,南华花园,22.541961,114.094106
27,深圳市福田区,俊安苑,22.550961,114.023784
28,深圳市福田区,飞扬时代大厦,22.545392,114.096122
29,深圳市福田区,翠馨居花园,22.570352,114.109328
30,深圳市福田区,皇庭世纪,22.531813,114.064075
31,深圳市福田区,旭飞华安园,22.570982,114.066905
32,深圳市福田区,香蜜湖水榭花都,22.554563,114.043738
33,深圳市福田区,梅山苑,22.570053,114.039913
34,深圳市福田区,建龙苑,22.581072,114.066765
35,深圳市福田区,中泰燕南名庭,22.551188,114.100027
36,深圳市福田区,沙嘴,22.523588,114.044278
37,深圳市福田区,骏皇嘉园,22.5299,114.051794
38,深圳市福田区,国泰豪园,22.549901,114.05266
39,深圳市福田区,华府馨居,22.572769,114.066952
40,深圳市福田区,绿景蓝湾半岛,22.52214,114.046583
41,深圳市福田区,绅宝花园,22.571486,114.067447
42,深圳市福田区,合旺阁,22.572174,114.067183
43,深圳市福田区,银海苑,22.576968,114.071849
44,深圳市福田区,百兴苑,22.570753,114.063564
45,深圳市福田区,景华苑(花景道),22.563414,114.038392
46,深圳市福田区,博林贡院,22.543363,114.004454
47,深圳市福田区,润华苑,22.572592,114.04858
48,深圳市福田区,万科金色家园,22.560512,114.050674
49,深圳市福田区,香荟雅苑,22.558145,114.031044
50,深圳市福田区,翰岭院,22.578124,114.075197
51,深圳市福田区,福保桂花苑,22.514782,114.05486
52,深圳市福田区,香蜜湖九号大院,22.557806,114.029094
53,深圳市福田区,台湾花园,22.543377,114.109026
54,深圳市福田区,雕塑家园,22.569131,114.066443
55,深圳市福田区,景田怡华苑,22.563713,114.044472
56,深圳市福田区,鸿达苑,22.566128,114.040241
57,深圳市福田区,玮鹏花园,22.548254,114.101078
58,深圳市福田区,市政大院,22.553583,114.049767
59,深圳市福田区,韵动家园,22.532383,114.044816
60,深圳市福田区,香域中央花园,22.555961,114.024703
61,深圳市福田区,兰江山第,22.571253,114.020134
62,深圳市福田区,南园新村,22.545469,114.100007
63,深圳市福田区,新新家园,22.524766,114.059577
64,深圳市福田区,越海家园,22.541774,114.013223
65,深圳市福田区,绿景红树湾壹号,22.525922,114.043192
