1,深圳市福田区,新南苑,9940516.868326304,3092389.3055333504

2,深圳市福田区,高发佳苑,9940516.839929678,3092389.275651468

3,深圳市福田区,深圳市公路局新洲住宅小区,9940516.878105793,3092389.260389911

4,深圳市福田区,园岭新村,9940526.557669444,3092450.028758061

5,深圳市福田区,福源花园,9940509.268039797,3092386.9164001066

6,深圳市福田区,建龙苑,9940537.860635802,3092415.169497258

7,深圳市福田区,南溪新苑,9940516.863088697,3092389.2734435825

8,深圳市福田区,华府馨居,9940537.822545385,3092415.159444431

9,深圳市福田区,绅宝花园,9940537.816146402,3092415.163095835

10,深圳市福田区,南园新村,9940518.970925376,3092447.5128720514

11,深圳市福田区,鸿新花园-三期,9940537.51937339,3092338.399746079

12,深圳市福田区,教育福星苑,9940520.780564046,3092428.955008165

13,深圳市福田区,福源花园三期-北海苑,9940509.266308611,3092386.936868128

14,深圳市福田区,市城建商住楼,9940520.790847976,3092429.0672897426

15,深圳市福田区,新浩城花园新景阁,9940529.941144498,3092335.870941528

16,深圳市福田区,私家小区,9940535.714243548,3092356.904638609

17,深圳市福田区,伟俊阁,9940522.580574822,3092410.35311924

18,深圳市福田区,长城三花园,9940528.374896305,3092431.4780786624

19,深圳市福田区,玮鹏花园一至-三期,9940518.981324641,3092447.528657494

20,深圳市福田区,振华大院,9940528.35762641,3092431.3795012757

21,深圳市福田区,万科金色家园-二期,9940532.073103134,3092394.1181655442

22,深圳市福田区,荔园阁(新洲),9940518.68448411,3092370.742658199

23,深圳市福田区,市航运总公E型住宅,9940520.753210647,3092429.0074331616

24,深圳市福田区,保华苑,9940518.715246733,3092370.6547874417

25,深圳市福田区,南园新村-东区,9940518.969835114,3092447.524549013

26,深圳市福田区,公汽总站住宅楼,9940520.77133618,3092429.0646305275

27,深圳市福田区,金地香蜜山-二期,9940535.73522022,3092356.982089469

28,深圳市福田区,嘉欣阁,9940520.794633718,3092428.943355507

29,深圳市福田区,滨河时代广场,9940518.72491949,3092370.6446172274

30,深圳市福田区,嘉乐园,9940520.785057705,3092429.06806047

31,深圳市福田区,阳光家园,9940528.38726744,3092431.4874229645

32,深圳市福田区,埔尾村-西区,9940518.960969407,3092447.5678202924

33,深圳市福田区,中泰燕南名庭-二期,9940526.523705548,3092449.9348406047

34,深圳市福田区,金地网球花园-二期,9940535.737979064,3092356.9755897694

35,深圳市福田区,旧墟村-北区,9940520.785906758,3092429.050857548

36,深圳市福田区,景丽花园社区-科协,9940532.061313035,3092394.1553960014

37,深圳市福田区,誉德皇后街区,9940515.04795131,3092407.9151972374

38,深圳市福田区,华富苑(沙嘴二坊),9940518.673813924,3092370.754685898

39,深圳市福田区,OT社区,9940526.297792511,3092373.218973755

40,深圳市福田区,梅林一村-西区,9940541.479523234,3092378.045843131

41,深圳市福田区,富怡雅居-商住楼,9940526.520317908,3092449.9411274157

42,深圳市福田区,三环御景,9940518.982045567,3092447.5288885427

43,深圳市福田区,埔尾村-东区,9940518.958819479,3092447.5798372957

44,深圳市福田区,嘉汇新城-嘉和阁,9940520.795557681,3092428.9403340174

45,深圳市福田区,机关生活区-二区,9940528.417182835,3092431.440184752

46,深圳市福田区,乐居苑,9940520.793988049,3092429.0722011966

47,深圳市福田区,妇科三区,9940526.545475649,3092449.9490172127

48,深圳市福田区,华庭国际,9940528.342284175,3092431.4571443885

49,深圳市福田区,环宇花园,9940516.852117874,3092389.369477946

50,深圳市福田区,沙埔头村东区-寿华楼,9940520.775243377,3092429.0809041243

51,深圳市福田区,沙埔头村东区-静趣居,9940520.781283485,3092429.0729216393

52,深圳市福田区,鸣沙苑,9940516.882529374,3092389.2737647505

53,深圳市福田区,丽富苑,9940518.673521144,3092370.7553638597

54,深圳市福田区,花榭里苑,9940528.14659559,3092354.5879723323

55,深圳市福田区,园岭新村-四期,9940526.546560198,3092449.9874252644

56,深圳市福田区,沙埔头村西区,9940520.774458297,3092429.061990973

57,深圳市福田区,德佑熙园,9940535.712115018,3092357.029493422

58,深圳市福田区,百花玉苑,9940526.556961609,3092449.9607043113

59,深圳市福田区,嘉悦园,9940516.872278452,3092389.2904655137

60,深圳市福田区,香蜜苑,9940535.740669027,3092356.9907472534

61,深圳市福田区,园博园2,9940529.938248519,3092335.9305353975

62,深圳市福田区,皇岗村-东区,9940515.041748129,3092407.895906982

63,深圳市福田区,艺丰花园-二期,9940537.825520137,3092415.247668809

64,深圳市福田区,中央花园-二期,9940516.864607789,3092389.352123958

65,深圳市福田区,俊园,9940524.418652244,3092391.6981854048

66,深圳市福田区,青春家园,9940530.216694606,3092412.85149376

67,深圳市福田区,浩联时代,9940522.630990362,3092410.355223077

68,深圳市福田区,前海华坤,9940528.111650323,3092354.5684214197
